file,repetitiveCodeLines,DeadCodesAfterReturn,MultipleReturnStatementsInFunction,LongStatements,MultipleSameFunctionNames,LongClassOrMethod,LongLoopBlocks,LongConditionalBlocks,LongParameterList
./venv/lib/python3.9/site-packages/pip/_vendor/packaging/tags.py,11,0,4,0,0,0,0,1,0
./venv/lib/python3.9/site-packages/pip/_vendor/packaging/_musllinux.py,0,1,3,0,0,1,0,0,0
./venv/lib/python3.9/site-packages/pip/_vendor/packaging/version.py,1,1,10,0,13,3,0,1,0
./venv/lib/python3.9/site-packages/pip/_vendor/packaging/__init__.py,0,0,0,0,0,0,0,0,0
./venv/lib/python3.9/site-packages/pip/_vendor/packaging/utils.py,0,0,1,0,0,1,0,0,0
./venv/lib/python3.9/site-packages/pip/_vendor/packaging/requirements.py,0,0,0,0,0,0,0,0,0
./venv/lib/python3.9/site-packages/pip/_vendor/packaging/_structures.py,0,0,0,0,8,0,0,0,0
./venv/lib/python3.9/site-packages/pip/_vendor/packaging/markers.py,0,0,2,0,3,0,0,0,0
./venv/lib/python3.9/site-packages/pip/_vendor/packaging/__about__.py,0,0,0,0,0,0,0,0,0
./venv/lib/python3.9/site-packages/pip/_vendor/packaging/_manylinux.py,3,0,9,0,0,1,0,0,0
./venv/lib/python3.9/site-packages/pip/_vendor/packaging/specifiers.py,37,5,13,0,14,9,0,2,0
./venv/lib/python3.9/site-packages/pip/_vendor/msgpack/_version.py,0,0,0,0,0,0,0,0,0
./venv/lib/python3.9/site-packages/pip/_vendor/msgpack/__init__.py,0,0,1,0,0,0,0,0,0
./venv/lib/python3.9/site-packages/pip/_vendor/msgpack/exceptions.py,0,0,0,0,0,0,0,0,0
./venv/lib/python3.9/site-packages/pip/_vendor/msgpack/fallback.py,31,1,6,0,2,4,0,7,0
./venv/lib/python3.9/site-packages/pip/_vendor/msgpack/ext.py,0,0,1,0,0,1,0,0,0
./venv/lib/python3.9/site-packages/pip/_vendor/chardet/enums.py,0,0,0,0,0,0,0,0,0
./venv/lib/python3.9/site-packages/pip/_vendor/chardet/langhungarianmodel.py,784,0,0,0,0,0,0,0,0
./venv/lib/python3.9/site-packages/pip/_vendor/chardet/mbcssm.py,64,0,0,0,0,0,0,0,0
./venv/lib/python3.9/site-packages/pip/_vendor/chardet/langthaimodel.py,575,0,0,0,0,0,0,0,0
./venv/lib/python3.9/site-packages/pip/_vendor/chardet/version.py,0,0,0,0,0,0,0,0,0
./venv/lib/python3.9/site-packages/pip/_vendor/chardet/compat.py,0,0,0,0,0,0,0,0,0
./venv/lib/python3.9/site-packages/pip/_vendor/chardet/langbulgarianmodel.py,746,0,0,0,0,0,0,0,0
./venv/lib/python3.9/site-packages/pip/_vendor/chardet/euckrprober.py,0,0,0,0,0,0,0,0,0
./venv/lib/python3.9/site-packages/pip/_vendor/chardet/sjisprober.py,0,0,0,0,0,0,0,0,0
./venv/lib/python3.9/site-packages/pip/_vendor/chardet/cp949prober.py,0,0,0,0,0,0,0,0,0
./venv/lib/python3.9/site-packages/pip/_vendor/chardet/__init__.py,7,0,1,0,0,0,0,2,0
./venv/lib/python3.9/site-packages/pip/_vendor/chardet/euctwfreq.py,0,0,0,0,0,0,0,0,0
